OID_,SampleBuilding,Area,PerSqFeet,lat,long,CSU_ID,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
1520,碧麗閣 C座,575,13565,22.341850000000001,114.181590000000000,3675422531T20050430,PHOENIX COURT BLOCK C,碧麗閣Ｃ座,72,4822.899999999999636,0,4822.899999999999636,10,47,70000,0.9,1,0,0,0,0,836754,822531,九龍城區,Kowloon City,*
1521,碧麗閣 D座,648,16512,22.342020000000002,114.181690000000003,3676422550T20050430,PHOENIX COURT BLOCK D,碧麗閣Ｄ座,72,4822.899999999999636,0,4822.899999999999636,10,47,70000,1.000000000000000,1,0,0,1,0,836764,822550,九龍城區,Kowloon City,*
1522,南豐新邨 1座,570,10877,22.283059999999999,114.213520000000003,4005216020T20050430,NAM FUNG SUN CHUEN BLOCK 1,南豐新邨第1座,0,13599.000000000000000,0,13599.000000000000000,35,47,33000,0.3,1,0,0,1,1,840052,816020,東區,Eastern,*
1523,美孚新邨 8期 百老匯街106-108號,656,12652,22.334320000000002,114.141530000000003,3262621696T20050430,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,21,46,60000,0.4,1,0,0,0,1,832626,821696,深水埗區,Sham Shui Po,*
1524,南豐新邨 1座,516,11240,22.283059999999999,114.213520000000003,4005216020T20050430,NAM FUNG SUN CHUEN BLOCK 1,南豐新邨第1座,0,13599.000000000000000,0,13599.000000000000000,35,47,33000,0.3,1,0,0,1,1,840052,816020,東區,Eastern,*
1525,南豐新邨 11座,516,16472,22.282640000000001,114.214720000000000,4016315973T20050430,NAM FUNG SUN CHUEN BLOCK 11,南豐新邨第11座,0,12757.000000000000000,0,12757.000000000000000,32,46,33000,0.4,1,0,0,0,1,840163,815973,東區,Eastern,*
1526,太古城 高山台 南山閣 (10座),689,14513,22.285280000000000,114.219399999999993,4065216260T20050430,TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1527,太古城 翠湖台 太湖閣 (3座),583,15437,22.284600000000001,114.220540000000000,4076616194T20050430,TAI WOO MANSION,太湖閣,206,12595.299999999999272,414.000000000000000,13009.299999999999272,28,46,47210,0.3,1,0,0,0,1,840766,816194,東區,Eastern,*
1528,富華閣,485,8247,22.317260000000001,114.230770000000007,4181919810T20050430,FU WAH COURT,富華閣,0,18317.299999999999272,4445.600000000000364,22762.900000000001455,32,47,25500,1.500000000000000,1,0,0,1,0,841819,819810,觀塘區,Kwun Tong,*
1529,鳳輝閣,609,13957,22.268719999999998,114.183400000000006,3693314432T20050430,FUNG FAI COURT,鳳輝閣,38,2316.800000000000182,0,2316.800000000000182,5,46,56640,1.500000000000000,1,0,0,0,0,836933,814432,灣仔區,Wan Chai,*
1530,碧麗閣 C座,667,13943,22.341850000000001,114.181590000000000,3675422531T20050430,PHOENIX COURT BLOCK C,碧麗閣Ｃ座,72,4822.899999999999636,0,4822.899999999999636,10,47,70000,0.9,1,0,0,0,0,836754,822531,九龍城區,Kowloon City,*
