OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,
75,12558,637,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*,
76,10602,896,22.296109999999999,114.171409999999995,漢中大廈,HANCHUNG MANSION,漢中大廈,5/1/1962 0:00,0,2955.599999999999909,540.899999999999977,3496.500000000000000,13,62,22000,0.05,1,0,0,1,0,835703,817465,油尖旺區,Yau Tsim Mong,*,
77,10071,556,22.301410000000001,114.174949999999995,太平洋大廈,PACIFIC BUILDING,太平洋大廈,12/1/1961 0:00,0,3970.000000000000000,537.500000000000000,4507.500000000000000,12,63,19210,0.5,1,0,0,1,0,836073,818052,油尖旺區,Yau Tsim Mong,*,
78,11292,611,22.301410000000001,114.174949999999995,太平洋大廈,PACIFIC BUILDING,太平洋大廈,12/1/1961 0:00,0,3970.000000000000000,537.500000000000000,4507.500000000000000,12,63,19210,0.5,1,0,0,1,0,836073,818052,油尖旺區,Yau Tsim Mong,*,
79,10979,490,22.317689999999999,114.175070000000005,自由大廈,LIBERTY MANSION,自由大廈,1/1/1962 0:00,0,4452.000000000000000,291.000000000000000,4743.000000000000000,16,63,65000,0.6,1,0,0,1,0,836083,819853,九龍城區,Kowloon City,*,
80,11324,574,22.303200000000000,114.168329999999997,偉安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*,
81,13548,465,22.281820000000000,114.183650000000000,海殿大廈,HOI DEEN COURT,海殿大廈,8/1/1963 0:00,0,9117.000000000000000,472.000000000000000,9589.000000000000000,18,61,18000,0.2,1,0,0,1,0,836961,815887,灣仔區,Wan Chai,*,
82,12676,781,22.339630000000000,114.155270000000002,興華大廈,WO HING BUILDING,和興大廈,6/1/1957 0:00,0,5632.500000000000000,643.100000000000023,6275.600000000000364,8,67,20000,0.5,0,2,0,1,0,834044,822285,深水埗區,Sham Shui Po,***,
83,7471,787,22.289860000000001,114.195549999999997,五洲大廈,CONTINENTAL MANSION,五洲大廈,10/1/1962 0:00,0,26221.599999999998545,3614.199999999999818,29835.799999999999272,23,62,31000,0.3,1,1,0,1,0,838187,816789,東區,Eastern,**,
84,12139,659,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*,
85,8612,1045,22.316330000000001,114.226540000000000,啟德樓,KAI TAK HOUSE,啓德樓,7/1/1963 0:00,0,3658.000000000000000,0,3658.000000000000000,14,61,28500,0.7,1,0,0,1,0,841384,819707,觀塘區,Kwun Tong,*,
86,9167,685,22.303200000000000,114.168329999999997,百安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*,
87,10359,946,22.325990000000001,114.186930000000004,玉華大廈,YORK MANSION,玉華大廈,6/1/1963 0:00,0,3115.199999999999818,0,3115.199999999999818,12,61,63200,0.7,0,0,0,0,0,837303,820777,九龍城區,Kowloon City,*,
88,11431,1041,22.325990000000001,114.186930000000004,玉華大廈,YORK MANSION,玉華大廈,6/1/1963 0:00,0,3115.199999999999818,0,3115.199999999999818,12,61,63200,0.7,0,0,0,0,0,837303,820777,九龍城區,Kowloon City,*,
89,16000,580,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*,
90,8777,900,22.303200000000000,114.168329999999997,百安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*,
91,11324,574,22.303200000000000,114.168329999999997,偉安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*,
92,11453,812,22.289860000000001,114.195549999999997,五洲大廈,CONTINENTAL MANSION,五洲大廈,10/1/1962 0:00,0,26221.599999999998545,3614.199999999999818,29835.799999999999272,23,62,31000,0.3,1,1,0,1,0,838187,816789,東區,Eastern,**,
93,9917,605,22.290080000000000,114.194789999999998,南方大廈,SOUTHERN BUILDING,南方大廈,1/1/1963 0:00,0,17271.099999999998545,1407.500000000000000,18678.599999999998545,20,62,18420,0.2,1,1,0,1,0,838112,816787,東區,Eastern,**,
94,11625,1015,22.281790000000001,114.185559999999995,美登大廈,HAMILTON MANSION,美登大廈,11/1/1962 0:00,0,6282.600000000000364,495.000000000000000,6777.600000000000364,13,62,50230,0.2,1,0,0,1,0,837172,815885,灣仔區,Wan Chai,*,
95,10939,841,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*,
96,13674,841,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*,
97,13754,538,22.278279999999999,114.186390000000003,麗達大廈,RITA HOUSE,麗達大廈,2/1/1963 0:00,0,1217.299999999999955,229.699999999999989,1447.000000000000000,11,62,22000,0.3,1,0,0,1,0,837250,815491,灣仔區,Wan Chai,*,
98,16918,662,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*,
99,7056,479,22.312000000000001,114.170590000000004,麗星大廈,LAI SHING BUILDING,麗星大廈,9/1/1963 0:00,0,6126.699999999999818,941.299999999999955,7068.000000000000000,19,61,15000,0.05,1,1,1,0,0,835623,819226,油尖旺區,Yau Tsim Mong,**,
100,7744,501,22.290080000000000,114.194789999999998,南方大廈,SOUTHERN BUILDING,南方大廈,1/1/1963 0:00,0,17271.099999999998545,1407.500000000000000,18678.599999999998545,20,62,18420,0.2,1,1,0,1,0,838112,816787,東區,Eastern,**,
